PeP,C,PoP,D,L
0.967706499998352,0.0001678,8.31000000000012E-05,0.009299699999999,0.022742899999999
0.999570499998194,0.0001442,9.05000000000014E-05,8.08000000000011E-05,0.000114
0.999419699998244,0.0001548,0.0001675,0.0001397,0.0001183
0.999530599998188,0.000105,8.97000000000013E-05,0.0001656,0.0001091
0.999457599998205,0.000155,9.48000000000015E-05,0.0001758,0.0001168
0.999462799998224,9.15000000000014E-05,0.0001963,0.0001039,0.0001455
0.999478499998183,0.0001334,0.0001596,8.81000000000013E-05,0.0001404
0.99941439999823,0.0001108,0.0001268,0.0001879,0.0001601
0.999557799998178,0.0001164,7.09000000000009E-05,0.0001301,0.0001248
0.99954799999821,9.18000000000014E-05,0.0001083,0.0001252,0.0001267
0.999516399998225,0.0001278,7.97000000000011E-05,0.0001195,0.0001566
0.999380799998254,0.000131,0.0001559,0.0001816,0.0001507
0.99950939999818,0.0001193,0.0001239,0.0001408,0.0001066
0.999449799998141,0.0002011,9.66000000000015E-05,0.0001245,0.000128
0.999403399998231,7.6700000000001E-05,0.000155,0.0002111,0.0001538
0.999348399998258,0.000274,8.83000000000013E-05,0.0001248,0.0001645
0.999489299998202,0.0001325,0.0001276,9.84000000000015E-05,0.0001522
0.999525999998185,0.0001878,0.0001246,7.5900000000001E-05,8.57000000000012E-05
0.999464799998209,9.76000000000015E-05,0.0002012,0.0001171,0.0001193
0.999415299998227,0.0001522,0.0001572,0.0001459,0.0001294
0.999520799998211,9.76000000000015E-05,0.0001459,0.0001173,0.0001184
0.999582999998188,8.42000000000012E-05,8.46000000000012E-05,0.0001002,0.000148
0.999361399998214,0.0002497,0.0001033,0.0001208,0.0001648
0.999322499998192,0.000247,0.0001528,0.0001506,0.0001271
0.999547399998198,0.0001364,8.74000000000013E-05,0.0001063,0.0001225
0.999566999998167,0.0001306,9.38000000000014E-05,0.0001288,7.98000000000011E-05
0.999662299998186,8.28000000000012E-05,8.90000000000013E-05,0.0001077,5.82000000000006E-05
0.999542899998204,0.0001572,7.35000000000009E-05,0.0001818,4.46000000000002E-05
0.999481599998235,0.0001458,0.0001403,8.56000000000013E-05,0.0001467
0.99956809999818,0.0001031,8.41000000000012E-05,0.0001142,0.0001305
0.999371899998213,0.0001609,0.0001733,0.0001413,0.0001526
0.999578299998206,7.4800000000001E-05,0.0001104,9.93000000000016E-05,0.0001372
0.999576799998166,0.0001264,0.0001142,6.06000000000006E-05,0.000122
0.99950819999821,0.0001558,9.51000000000015E-05,0.0001302,0.0001107
0.999426199998176,0.000127,0.0001281,0.0001302,0.0001885
0.999489899998216,0.0001131,0.0001211,0.0001403,0.0001356
0.999601399998179,0.0001354,7.71000000000009E-05,5.43000000000005E-05,0.0001318
0.999577499998165,8.65000000000013E-05,0.0001123,0.0001323,9.14000000000014E-05
0.999449999998199,0.0001612,7.16000000000009E-05,0.0001371,0.0001801
0.999508699998199,8.89000000000011E-05,0.0001669,0.0001407,9.48000000000015E-05
0.999394099998247,0.0001488,0.0002143,0.0001341,0.0001087
0.999482999998199,0.0001178,0.0001255,0.0001188,0.0001549
0.999515399998184,0.0001091,0.0001267,0.0001065,0.0001423
0.999484399998238,7.6900000000001E-05,0.0001288,0.0001994,0.0001105
0.999500999998201,6.69000000000008E-05,0.000173,0.0001716,8.75000000000013E-05
0.99955199999818,0.0001105,0.0001241,0.0001079,0.0001055
0.999442799998252,0.0001572,0.0001053,0.00017,0.0001247
0.999495899998213,0.0001589,0.0001555,7.82000000000011E-05,0.0001115
0.999593199998158,0.0001136,6.64000000000008E-05,9.29000000000014E-05,0.0001339
0.999226399998243,0.0003999,0.0001276,0.0001053,0.0001408
